63,295,327
100,201,327
124,314,327
126,815,327
132,510,337
242,373,337
255,687,337
349,395,337
436,1102,337
516,511,337
577,577,337
655,1059,348
667,868,348
38,514,348
51,702,348
96,1215,348
104,1274,348
207,1021,358
277,918,358
407,435,358
642,1000,358
743,186,358
124,314,358
126,815,358
196,928,368
226,37,368
496,1052,368
532,890,368
587,727,368
622,1147,368
714,717,378
744,1256,378
17,96,378
535,613,378
726,903,378
769,1243,378
539,1153,389
799,56,389
525,1003,389
555,942,389
680,586,389
743,1254,399
25,164,399
59,1005,399
173,1000,399
247,159,399
81,608,399
128,810,399
245,131,409
525,1003,409
799,56,409
11,834,409
421,787,409
680,586,409
447,981,419
701,104,419
305,768,419
350,376,419
470,1207,419
555,942,419
702,532,430
11,1103,430
193,416,430
242,127,430
320,686,430
407,533,430
416,1187,440
421,787,440
539,1153,440
555,972,440
568,275,440
640,1064,440
664,731,440
702,532,450
777,150,450
782,603,450
10,302,450
47,1144,450
81,608,450
84,672,460
157,1092,460
165,821,460
178,710,460
193,416,460
203,678,460
211,1053,460
221,627,471
248,1178,471
264,164,471
275,1078,471
298,928,471
305,768,471
317,1071,481
364,254,481
407,533,481
413,344,481
437,282,481
440,133,481
476,172,491
493,329,491
579,1092,491
621,1192,491
636,263,491
687,831,491
712,848,491
720,977,501
721,903,501
742,721,501
744,1246,501
745,418,501
755,1255,501
758,1260,512
789,413,512
10,302,512
10,1270,512
16,496,512
20,895,512
47,1144,512
53,940,512
58,136,522
68,917,522
69,423,522
74,554,522
118,461,522
129,6,522
141,561,532
168,421,532
171,1254,532
173,1000,532
187,426,532
187,910,532
210,899,532
211,21,542
239,390,542
245,131,542
269,737,542
273,1006,542
292,1007,542
294,590,542
307,333,552
309,493,552
316,139,552
344,1158,552
359,438,552
399,912,552
423,980,563
429,1216,563
442,239,563
445,498,563
447,981,563
459,1238,563
466,305,563
470,789,573
473,1154,573
479,5,573
483,982,573
502,209,573
517,971,573
521,1059,583
539,1185,583
552,355,583
558,777,583
605,904,583
627,467,583
644,214,593
697,1141,593
701,104,593
744,1255,593
746,373,593
750,1260,593
751,1251,593
756,1248,604
762,540,604
769,1069,604
18,460,604
36,525,604
46,4,604
46,647,604
59,1005,614
79,534,614
95,1163,614
100,201,614
107,753,614
129,1132,614
143,252,614
173,1075,624
206,813,624
224,536,624
233,307,624
255,755,624
263,674,624
319,979,634
321,1202,634
325,1005,634
348,267,634
376,898,634
388,412,634
408,726,645
418,1074,645
424,204,645
442,1016,645
